store_code	latitude	longitude
912	24.9223779	67.1035977
913	24.8576017	67.045725
917	24.8674567	67.0405433
918	24.8716283	67.0518029
920	24.869967	67.0339437
921	24.8907033	67.07549
922	24.897455	67.0653967
924	24.8610661	67.0497182
926	24.865805	67.0521167
927	24.8813433	67.0423267
928	24.9055137	67.0781397
929	24.889155	67.0586084
934	24.9131358	67.1020694
935	24.8667727	67.0353773
937	24.86119	67.0503467
939	24.8930057	67.054442
940	24.9188327	67.1065314
942	24.9055428	67.078145
943	24.8926801	67.0461531
944	24.8697767	67.046795
945	24.8940333	67.0581483
946	24.9096379	67.1034079
947	24.8981908	67.1146744
950	24.9122123	67.0883272
953	24.8640397	67.030324
954	24.8880408	67.0442
957	24.8922521	67.0539949
959	24.9093734	67.1225587
961	24.9030466	67.0691835
962	24.866045	67.039415
963	24.9053387	67.1224249
964	24.9082431	67.0887867
965	24.8837869	67.0837393
966	24.9069941	67.1280346
968	24.8875663	67.0502576
969	24.8851058	67.0519356
971	24.9111046	67.1260794
973	24.8699017	67.0441267
975	24.8697087	67.0361723
979	24.9163217	67.1001417
982	24.8696439	67.0367776
983	24.909818	67.1095531
985	24.8983492	67.114634
989	24.8622967	67.04481
990	24.9085609	67.082664
996	24.8925179	67.0448206
997	24.8986714	67.06752
	24.8639901	67.0303779
1004	24.8847644	67.082215
1009	24.8970415	67.115191
1010	24.9053396	67.1153373
1013	24.8678796	67.0305367
1014	24.8693555	67.0441804
1015	24.8755633	67.0849125
1018	24.9025372	67.1067623
1020	24.8850767	67.0456567
1021	24.8945369	67.057585
1026	24.9098069	67.1095814
1027	24.9198548	67.1051145
1030	24.8623256	67.0294225
1031	24.8654412	67.0371112
1032	24.8845208	67.0827241
1033	24.9088611	67.1074673
1034	24.8931133	67.0465333
1037	24.900932	67.1203267
1040	24.8861583	67.083165
1042	24.882543	67.0501702
1044	24.8900077	67.0581303
1045	24.8739214	67.0451892
1046	24.8806217	67.0402933
1047	24.8912589	67.0462906
1050	24.8678339	67.0451491
1053	24.9010233	67.0677817
1058	24.8850017	67.08198
1064	24.900365	67.0694583
1065	24.9182283	67.103685
1067	24.8727942	67.0470268
1068	24.8689448	67.0356359
1074	24.8867933	67.0486117
1077	24.8664734	67.0311749
1080	24.884841	67.0516389
1081	24.8622733	67.0442933
1082	24.8612176	67.0509672
